epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4038,0.93404,3.21966,1.21231,0.55605,0.56527,0.57182,0.47749,0.64526,3.04568,1.03421,0.00014,0.00014,0.00014
2,38.0289,0.89091,1.7954,1.16292,0.66091,0.63368,0.66559,0.51838,0.77869,2.7553,1.14344,0.000282823,0.000282823,0.000282823
3,43.4174,0.84903,1.31864,1.12755,0.64611,0.64197,0.6367,0.47724,0.86848,2.70238,1.17789,0.00041822,0.00041822,0.00041822
4,49.6133,0.9148,1.1512,1.1473,0.56788,0.49011,0.5663,0.37753,1.09423,3.16653,1.39497,0.000546193,0.000546193,0.000546193
5,55.0486,0.95123,1.2162,1.15428,0.4659,0.5604,0.50544,0.33356,1.22293,3.35964,1.5425,0.00066674,0.00066674,0.00066674
6,60.2517,0.95397,1.08931,1.15877,0.57224,0.72171,0.69428,0.44197,1.20135,2.78715,1.48491,0.000779862,0.000779862,0.000779862
7,66.2133,0.91665,0.97069,1.1354,0.44404,0.52014,0.49303,0.32682,1.20354,2.71813,1.63922,0.0008515,0.0008515,0.0008515
8,71.3704,0.94737,1.01136,1.16327,0.62944,0.55881,0.56236,0.34131,1.20407,2.57186,1.54123,0.00082675,0.00082675,0.00082675
9,77.5149,0.9366,0.99737,1.16426,0.55374,0.55382,0.56318,0.4022,1.07638,2.108,1.39524,0.000802,0.000802,0.000802
10,82.6284,0.89784,0.86138,1.14434,0.62326,0.68694,0.66288,0.43158,1.21721,2.06716,1.5877,0.00077725,0.00077725,0.00077725
11,88.3437,0.8798,0.88471,1.14415,0.70929,0.6518,0.67461,0.48635,1.15302,4.08357,1.46351,0.0007525,0.0007525,0.0007525
12,94.1111,0.90891,0.83128,1.12768,0.79888,0.78881,0.85234,0.63038,0.85177,1.32869,1.19251,0.00072775,0.00072775,0.00072775
13,99.3364,0.87973,0.86665,1.13072,0.80839,0.69675,0.82273,0.62533,0.83856,1.30884,1.14979,0.000703,0.000703,0.000703
14,105.411,0.88334,0.85299,1.14208,0.83303,0.6995,0.79874,0.57228,0.91909,1.03274,1.27716,0.00067825,0.00067825,0.00067825
15,110.556,0.92536,0.80687,1.14859,0.78466,0.80917,0.85366,0.66088,0.7891,0.8568,1.13397,0.0006535,0.0006535,0.0006535
16,116.839,0.86249,0.76631,1.11649,0.90258,0.8032,0.90106,0.70174,0.82265,0.77077,1.10237,0.00062875,0.00062875,0.00062875
